"Stkcd","ShortName","Accper","Typrep","A001000000","A002000000"
"000001","平安银行","2017-01-01","A","2953434000000.00","2751263000000.00"
"000001","平安银行","2017-03-31","A","3006195000000.00","2798456000000.00"
"000001","平安银行","2017-06-30","A","3092142000000.00","2880688000000.00"
"000001","平安银行","2017-09-30","A","3137481000000.00","2919370000000.00"
"000001","平安银行","2017-12-31","A","3248474000000.00","3026420000000.00"
"000001","平安银行","2018-01-01","A","3248474000000.00","3026420000000.00"
"000001","平安银行","2018-03-31","A","3338572000000.00","3115181000000.00"
"000001","平安银行","2018-06-30","A","3367399000000.00","3139258000000.00"
"000001","平安银行","2018-09-30","A","3352056000000.00","3116825000000.00"
"000001","平安银行","2018-12-31","A","3418592000000.00","3178550000000.00"
"000001","平安银行","2019-01-01","A","3418592000000.00","3178550000000.00"
"000001","平安银行","2019-03-31","A","3530180000000.00","3279242000000.00"
"000001","平安银行","2019-06-30","A","3590766000000.00","3334163000000.00"
"000001","平安银行","2019-09-30","A","3707683000000.00","3419610000000.00"
"000001","平安银行","2019-12-31","A","3939070000000.00","3626087000000.00"
"000001","平安银行","2020-01-01","A","3939070000000.00","3626087000000.00"
"000001","平安银行","2020-01-01","B","3939070000000.00","3626087000000.00"
"000001","平安银行","2020-03-31","A","4132298000000.00","3779943000000.00"
"000001","平安银行","2020-06-30","A","4178622000000.00","3827225000000.00"
"000001","平安银行","2020-09-30","A","4346921000000.00","3988150000000.00"
"000001","平安银行","2020-09-30","B","4349421000000.00","3990654000000.00"
"000001","平安银行","2020-12-31","A","4468514000000.00","4104383000000.00"
"000001","平安银行","2020-12-31","B","4468779000000.00","4104819000000.00"
"000001","平安银行","2021-01-01","A","4468514000000.00","4104383000000.00"
"000001","平安银行","2021-01-01","B","4468779000000.00","4104819000000.00"
"000001","平安银行","2021-03-31","A","4572974000000.00","4200357000000.00"
"000001","平安银行","2021-03-31","B","4572927000000.00","4200929000000.00"
"000001","平安银行","2021-06-30","A","4723520000000.00","4346327000000.00"
"000001","平安银行","2021-06-30","B","4722747000000.00","4346543000000.00"
"000001","平安银行","2021-09-30","A","4853074000000.00","4464216000000.00"
"000001","平安银行","2021-09-30","B","4852771000000.00","4465078000000.00"
"000001","平安银行","2021-12-31","A","4921380000000.00","4525932000000.00"
"000001","平安银行","2021-12-31","B","4921073000000.00","4527406000000.00"
"000001","平安银行","2022-01-01","A","4921380000000.00","4525932000000.00"
"000001","平安银行","2022-01-01","B","4921073000000.00","4527406000000.00"
"000001","平安银行","2022-03-31","A","5117949000000.00","4711774000000.00"
"000001","平安银行","2022-03-31","B","5116671000000.00","4712517000000.00"
"000001","平安银行","2022-06-30","A","5108776000000.00","4696678000000.00"
"000001","平安银行","2022-06-30","B","5107033000000.00","4697111000000.00"
"000001","平安银行","2022-09-30","A","5195133000000.00","4769749000000.00"
"000001","平安银行","2022-09-30","B","5192911000000.00","4769870000000.00"
"000001","平安银行","2022-12-31","A","5321514000000.00","4886834000000.00"
"000001","平安银行","2022-12-31","B","5319138000000.00","4888117000000.00"
"000002","万科A","2017-01-01","A","830674213924.14","668997642643.14"
"000002","万科A","2017-01-01","B","220513275411.99","158168002617.12"
"000002","万科A","2017-03-31","A","886753515225.75","724767498902.75"
"000002","万科A","2017-03-31","B","242086139071.20","180016259202.39"
"000002","万科A","2017-06-30","A","929265916207.12","768108159850.60"
"000002","万科A","2017-06-30","B","269323195148.07","202792715146.22"
"000002","万科A","2017-09-30","A","1018381990533.10","850656698669.71"
"000002","万科A","2017-09-30","B","287429925449.22","220852408622.84"
"000002","万科A","2017-12-31","A","1165346917804.55","978672978646.26"
"000002","万科A","2017-12-31","B","330230503667.51","263168944973.15"
"000002","万科A","2018-01-01","A","1165346917804.55","978672978646.26"
"000002","万科A","2018-01-01","B","330230503667.51","263168944973.15"
"000002","万科A","2018-03-31","A","1224264792316.36","1028927389931.85"
"000002","万科A","2018-03-31","B","326707776157.69","259423046871.83"
"000002","万科A","2018-06-30","A","1345151635212.87","1139367483490.15"
"000002","万科A","2018-06-30","B","411953875546.82","329967546967.52"
"000002","万科A","2018-09-30","A","1432222053278.00","1216330293681.77"
"000002","万科A","2018-09-30","B","419947736917.83","338599535109.34"
"000002","万科A","2018-12-31","A","1528579356474.81","1292958626477.23"
"000002","万科A","2018-12-31","B","456382211534.77","376269541216.50"
"000002","万科A","2019-01-01","A","1528579356474.81","1292958626477.23"
"000002","万科A","2019-01-01","B","456382211534.77","376269541216.50"
"000002","万科A","2019-03-31","A","1551166452530.90","1314977040559.00"
"000002","万科A","2019-03-31","B","445394633838.96","366004840622.79"
"000002","万科A","2019-06-30","A","1577056909941.26","1344589371133.80"
"000002","万科A","2019-06-30","B","491207755513.18","379261269560.25"
"000002","万科A","2019-09-30","A","1638763217307.92","1393911322007.67"
"000002","万科A","2019-09-30","B","491454387037.69","377991458096.78"
"000002","万科A","2019-12-31","A","1729929450401.23","1459350334988.27"
"000002","万科A","2019-12-31","B","447723719253.16","336728757974.47"
"000002","万科A","2020-01-01","A","1729929450401.23","1459350334988.27"
"000002","万科A","2020-01-01","B","447723719253.16","336728757974.47"
"000002","万科A","2020-03-31","A","1739794796342.85","1465683669930.90"
"000002","万科A","2020-03-31","B","479535432261.01","369290071842.59"
"000002","万科A","2020-06-30","A","1806186613769.10","1514930506717.89"
"000002","万科A","2020-06-30","B","526049095233.25","378095548940.71"
"000002","万科A","2020-09-30","A","1814465741941.72","1511823329619.30"
"000002","万科A","2020-09-30","B","479973334886.22","332163440910.91"
"000002","万科A","2020-12-31","A","1869177094005.55","1519332620662.33"
"000002","万科A","2020-12-31","B","481425827073.97","334091585968.56"
"000002","万科A","2021-01-01","A","1869177094005.55","1519332620662.33"
"000002","万科A","2021-01-01","B","481425827073.97","334091585968.56"
"000002","万科A","2021-03-31","A","1907860492718.95","1552428487851.48"
"000002","万科A","2021-03-31","B","481959577609.82","334559977604.72"
"000002","万科A","2021-06-30","A","1955046076839.62","1591325317456.80"
"000002","万科A","2021-06-30","B","505076774561.30","351232487773.87"
"000002","万科A","2021-09-30","A","1967403013063.62","1592472568518.44"
"000002","万科A","2021-12-31","A","1938638128699.08","1545865352173.99"
"000002","万科A","2021-12-31","B","508811629925.62","350922912690.25"
"000002","万科A","2022-01-01","A","1938638128699.08","1545865352173.99"
"000002","万科A","2022-01-01","B","508811629925.62","350922912690.25"
"000002","万科A","2022-03-31","A","1947369375453.95","1554059665756.77"
"000002","万科A","2022-06-30","A","1879202244259.10","1487493682256.50"
"000002","万科A","2022-06-30","B","544228434974.78","384349270703.68"
"000002","万科A","2022-09-30","A","1832624105913.53","1426655627128.92"
"000002","万科A","2022-12-31","A","1757124444202.95","1352132937796.74"
"000002","万科A","2022-12-31","B","545722828589.76","385748235325.69"
"000166","申万宏源","2017-01-01","A","275489262612.92","221416021674.13"
"000166","申万宏源","2017-01-01","B","54438492848.01","15792550306.24"
"000166","申万宏源","2017-03-31","A","279042482283.93","223887537182.36"
"000166","申万宏源","2017-03-31","B","52505567096.10","13846350367.15"
"000166","申万宏源","2017-06-30","A","282965740082.45","228622094351.77"
"000166","申万宏源","2017-06-30","B","52223443896.57","14587607263.86"
"000166","申万宏源","2017-09-30","A","288672944566.70","232391579801.43"
"000166","申万宏源","2017-09-30","B","52245206794.58","14618826394.99"
"000166","申万宏源","2017-12-31","A","299943298189.36","242937520017.23"
"000166","申万宏源","2017-12-31","B","53628853039.28","15965925895.13"
"000166","申万宏源","2018-01-01","A","299943298189.36","242937520017.23"
"000166","申万宏源","2018-01-01","B","53628853039.28","15965925895.13"
"000166","申万宏源","2018-03-31","A","326232734718.44","256449345516.70"
"000166","申万宏源","2018-03-31","B","65547775125.00","15887297281.10"
"000166","申万宏源","2018-06-30","A","336734844866.85","267564016340.08"
"000166","申万宏源","2018-06-30","B","65475607872.93","15299103389.77"
"000166","申万宏源","2018-09-30","A","348880748530.80","277985627687.14"
"000166","申万宏源","2018-09-30","B","72404347807.17","22229395599.86"
"000166","申万宏源","2018-12-31","A","347725034856.60","276529105779.02"
"000166","申万宏源","2018-12-31","B","71714699481.56","21538209301.27"
"000166","申万宏源","2019-01-01","A","347725034856.60","276529105779.02"
"000166","申万宏源","2019-01-01","B","71714699481.56","21538209301.27"
"000166","申万宏源","2019-03-31","A","375150996227.36","301935733215.94"
"000166","申万宏源","2019-03-31","B","72808569374.49","23657498121.66"
"000166","申万宏源","2019-06-30","A","379046820295.21","296978411634.53"
"000166","申万宏源","2019-06-30","B","81817616125.56","22978757431.21"
"000166","申万宏源","2019-09-30","A","372227645380.23","288587421483.20"
"000166","申万宏源","2019-09-30","B","79582597203.35","20640597315.40"
"000166","申万宏源","2019-12-31","A","388537264595.61","303705857701.99"
