"Stkcd","Trdmnt","Opndt","Mopnprc","Clsdt","Mclsprc","Mnshrtrd","Mnvaltrd"
"000001","2018-01","02","13.350","31","14.050","4614537646","64548697328.360"
"000001","2018-02","01","13.950","28","12.050","2562447321","33225037914.230"
"000001","2018-03","01","11.920","30","10.900","2312996915","26925601133.240"
"000001","2018-04","02","10.870","27","10.850","2349599053","26556911800.600"
"000001","2018-05","02","10.970","31","10.180","1826717783","19652776154.270"
"000001","2018-06","01","10.150","29","9.090","1817988858","17912513913.260"
"000001","2018-07","02","9.050","31","9.420","2043027802","18327371699.210"
"000001","2018-08","01","9.420","31","10.130","2189687302","20886716953.780"
"000001","2018-09","03","10.090","28","11.050","1882100499","19428419455.200"
"000001","2018-10","08","10.700","31","10.910","2780155709","29608782523.250"
"000001","2018-11","01","10.990","30","10.360","2084963386","22211058962.230"
"000001","2018-12","03","10.590","28","9.380","1199334470","11974162200.990"
"000001","2019-01","02","9.390","31","11.100","1816314971","18760030468.840"
"000001","2019-02","01","11.200","28","12.360","1911474401","22306694152.270"
"000001","2019-03","01","12.480","29","12.820","2671302590","33645833416.200"
"000001","2019-04","01","12.830","30","13.850","2593169654","36205464667.950"
"000001","2019-05","06","13.100","31","12.180","1864961220","23370285876.270"
"000001","2019-06","03","12.220","28","13.780","1662158178","21377644710.930"
"000001","2019-07","01","14.010","31","14.130","1652335938","23072907184.200"
"000001","2019-08","01","14.060","30","14.160","2993290343","43313563820.850"
"000001","2019-09","02","14.150","30","15.590","2538654785","37994867477.510"
"000001","2019-10","08","15.600","31","16.260","2019233578","33553939986.080"
"000001","2019-11","01","16.350","29","15.290","1640142537","26720137958.530"
"000001","2019-12","02","15.350","31","16.450","1516354896","24339018914.740"
"000001","2020-01","02","16.650","23","15.540","1483446929","24663290817.830"
"000001","2020-02","03","13.990","28","14.500","2532137636","37501098787.730"
"000001","2020-03","02","14.550","31","12.800","2658243438","36693304167.510"
"000001","2020-04","01","12.860","30","13.930","1707118025","22442712541.720"
"000001","2020-05","06","13.760","29","13.000","1216461999","16312734822.330"
"000001","2020-06","01","13.100","30","12.800","1827319157","23785421169.050"
"000001","2020-07","01","12.790","31","13.340","4807273329","69415902211.120"
"000001","2020-08","03","13.470","31","15.080","3124407816","45163156180.500"
"000001","2020-09","01","14.960","30","15.170","2151821111","32926198675.380"
"000001","2020-10","09","15.300","30","17.750","2083928481","35899528432.270"
"000001","2020-11","02","17.650","30","19.740","2057498109","37790045719.230"
"000001","2020-12","01","19.700","31","19.340","1961621432","36920061503.090"
"000001","2021-01","04","19.100","29","23.090","2792512935","58603803798.230"
"000001","2021-02","01","23.000","26","21.380","2243272525","52541944392.310"
"000001","2021-03","01","21.540","31","22.010","2340059951","50347476182.970"
"000001","2021-04","01","22.080","30","23.290","1423476303","31264829462.850"
"000001","2021-05","06","23.100","31","24.200","1015281590","24221421505.840"
"000001","2021-06","01","24.200","30","22.620","1225673158","28598633960.800"
"000001","2021-07","01","22.810","30","17.690","1935733252","39543208925.130"
"000001","2021-08","02","17.640","31","17.800","2087476977","39612873638.030"
"000001","2021-09","01","17.480","30","17.930","2752985795","51002547278.610"
"000001","2021-10","08","18.170","29","19.500","1435194523","28042460454.440"
"000001","2021-11","01","19.330","30","17.440","2168132364","38898674226.390"
"000001","2021-12","01","17.430","31","16.480","2560447197","45276503780.000"
"000001","2022-01","04","16.480","28","15.830","2582339706","43505823412.000"
"000001","2022-02","07","16.020","28","15.750","1627952153","26770314950.000"
"000001","2022-03","01","15.790","31","15.380","2799148145","41216784389.790"
"000001","2022-04","01","15.370","29","15.320","2316341470","36674357936.190"
"000001","2022-05","05","15.200","31","14.160","1531588151","22291939672.440"
"000001","2022-06","01","14.140","30","14.980","2799378295","40107191578.730"
"000001","2022-07","01","15.000","29","12.680","2325512851","31741011138.690"
"000001","2022-08","01","12.660","31","12.750","2377779259","29369669965.920"
"000001","2022-09","01","12.650","30","11.840","1965120473","24567132248.360"
"000001","2022-10","10","11.700","31","10.340","1519535662","16818922703.690"
"000001","2022-11","01","10.380","30","13.030","3526282382","41486699201.530"
"000001","2022-12","01","13.380","30","13.160","2377229168","31354051313.030"
"000002","2018-01","02","31.450","31","37.560","1412056208","52553325806.480"
"000002","2018-02","01","37.500","28","32.700","810923791","27750005312.620"
"000002","2018-03","01","32.170","30","33.290","905611988","29271329911.450"
"000002","2018-04","02","33.650","27","28.400","756570267","23528512694.180"
"000002","2018-05","02","28.400","31","25.590","941762377","25386256395.120"
